103,"AAPPS Bulletin",Physics,Miscellaneous,0.0,
104,"Aaps Journal",,,0.0,"Aaps J"
105,"Aaps Pharmsci",,,0.0,"Aaps Pharmsci"
106,"Aaps Pharmsci [Electronic Resource]",,,0.0,
107,"Aaps Pharmscitech",,,0.0,"Aaps Pharmscitech"
108,"Aaps Pharmscitech [Electronic Resource]",,,0.0,
109,"Aardkundige Mededelingen",,,0.0,
110,"Aarn News Letter",,,0.0,
111,"Aarsberetning - Kobenhavns Universitets Medicinsk-Historiske Institut og Museum",Medicine,"History of Medicine",0.0,
112,"Aarsberetning - Kobenhavns Universitets Medicinsk-Historiske Museum",Medicine,"History of Medicine",0.0,
113,"Aas History Series",,,0.0,
114,"Aatcc Magazine",,,0.0,
115,"Aatcc Review",,,0.0,"Aatcc Rev"
116,"Aaup Bulletin American Association Of University Professors",,,0.0,"Aaup B"
117,"Ab Bookman'S Weekly For The Specialist Book World",,,0.0,
118,"ABA Bank Compliance","Business Administration","Banks and Banking",0.0,
119,"ABA Bank Marketing","Business Administration","Banks and Banking",0.0,
120,"ABA Bankers News","Business Administration","Banks and Banking",0.0,
121,"ABA Journal (American Bar Association)",Law,"Legal Practice",0.0,"Aba J"
122,Abacus,"Business Administration",Accounting,0.0,
123,"Abacus A Journal Of Accounting And Business Studies",,,0.0,"Abacus-J Account Bus"
124,"Abacus A Journal Of Accounting Finance And Business Studies",,,0.0,Abacus
125,"Abacus New York",,,0.0,"Abacus-New York"
126,"Abb Review",,,0.0,
127,"Abbey Newsletter",,,0.0,
128,"Abc Transporters: Biochemical Cellular And Molecular Aspects",,,0.0,"Method Enzymol"
129,"Abdominal Aortic Aneurysm: Genetics Pathophysiology And Molecular Biology",,,0.0,
130,"Abdominal Imaging",Medicine,"Medical Imaging",0.0,"Abdom Imaging"
131,"Abdominal Surgery",Medicine,Surgery,0.0,
132,"Aberdeen'S Concrete Construction",,,0.0,
133,"Abhandlungen Aus Dem Mathematischen Seminar Der Universität Hamburg",,,0.0,"Abh Math Sem Hamburg"
134,"Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft","Biological Sciences","Zoology and Animal Science",0.0,
135,"Abhandlungen der Zoologisch-botanischen Gesellschaft in Oesterreich","Biological Sciences","Zoology and Animal Science",0.0,
136,"Abhandlungen Zur Geschichte Der Medizin Und Der Naturwissenschaften",,,0.0,
137,Abitare,Philosophy,Miscellaneous,0.0,
138,"ABNF Journal (Association of Black Nursing Faculty)",Medicine,Nursing,0.0,
139,"Aboriginal History",Economics,"Law and Economics",0.0,
140,"About Campus",Education,"Education Research",0.0,
141,"About The House",,,0.0,"About House"
142,"About Women and Marketing","Business Administration",Marketing,0.0,
143,"Abrasive Engineering",,,0.0,"Abrasive Eng"
144,Abrasives,,,0.0,
145,Absatzwirtschaft,"Business Administration",Marketing,0.0,
146,"Abstract and Applied Analysis",Mathematics,Analysis,0.0,"Abstr Appl Anal"
147,"Abstract Journal in Earthquake Engineering",Engineering,Miscellaneous,0.0,
148,"Abstract of Chinese Geological Literature","Arts and Literature",Literature,0.0,
149,"Abstract State Machines 2003: Advances In Theory And Practic Proceedings",,,0.0,"Lect Notes Comput Sc"
150,"Abstracta Botanica",,,0.0,
151,"Abstraction Reformulation And Approximation Proceedings",,,0.0,"Lect Notes Artif Int"
152,"Abstracts - Conference on Mass Spectrometry and Allied Topics",Chemistry,"Mass Spectrometry",0.0,
153,"Abstracts in Anthropology",Humanities,Archaeology,0.0,
154,"Abstracts in Hematology & Oncology",Medicine,Hematology,0.0,
155,"Abstracts in Social Gerontology","Social Sciences",Gerontology,0.0,
156,"Abstracts of Belgian Geology and Physical Geography","Earth Sciences",Geology,0.0,
157,"Abstracts of Bulgarian Scientific Literature, Geosciences","Arts and Literature",Literature,0.0,
158,"Abstracts of Folklore Studies","Arts and Literature",Folklore,0.0,
159,"Abstracts of Geochronology and Isotope Geology","Earth Sciences",Geology,0.0,
160,"Abstracts Of Health Care Management Studies",,,0.0,
161,"Abstracts Of Hospital Management Studies",,,0.0,
162,"Abstracts of Papers - American Chemical Society, National Meeting",Chemistry,Miscellaneous,0.0,
163,"Abstracts Of Papers Of The American Chemical Society",,,0.0,"Abstr Pap Am Chem S"
164,"Abstracts of the General Meeting of the American Society for Microbiology","Biological Sciences",Microbiology,0.0,
165,"Abstracts Of The Pacific Basin Nuclear Conference",,,0.0,
166,"Abstracts of the Papers Communicated to the Royal Society of London",Engineering,Miscellaneous,0.0,
167,"Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London",Philosophy,"Philosophy of Biology",0.0,
168,"Abstracts Of Uk Patent Applications",,,0.0,
169,"Abstracts of Working Papers in Economics","Business Administration","Finance and Financial Services",0.0,
170,"Abstracts - Society of Exploration Geophysicists International Meeting (former title)","Earth Sciences",Geophysics,0.0,
171,"Abu Technical Review",,,0.0,
172,"Abwassertech Abfalltech",,,0.0,
173,Abwassertechnik,,,0.0,
174,Academe,Education,"Education Research",0.0,Academe
175,"Academic Emergency Medicine",Education,Miscellaneous,0.0,"Acad Emerg Med"
176,"Academic Journal Of Second Military Medical University",,,0.0,
177,"Academic Journal of Xi'an Jiaotong University",Medicine,Miscellaneous,0.0,
178,"Academic Leader",Education,"Education Research",0.0,
179,"Academic Leadership",,,0.0,
180,"Academic Medicine",Education,"Medical Education",0.0,"Acad Med"
181,"Academic Nurse, The",Medicine,Nursing,0.0,
182,"Academic Open Internet Journal",Engineering,"Civil Engineering",0.0,
183,"Academic Physician & Scientist",Education,"Medical Education",0.0,
184,"Academic Psychiatry",Psychology,Psychiatry,0.0,"Acad Psychiatr"
185,"Academic Psychology Bulletin",Psychology,Miscellaneous,0.0,"Acad Psychol B"
186,"Academic Questions",Education,Miscellaneous,0.0,
187,"Academic Radiology",Medicine,"Medical Imaging",0.0,"Acad Radiol"
188,"Academic Reports, Faculty of Engineering, Tokyo Institute of Polytechnics",Engineering,Miscellaneous,0.0,
189,"Academic Therapy",Education,"Special Education",0.0,"Acad Ther"
190,"Academy of Management Executive","Business Administration","Human Resource Management",0.0,"Acad Manage Exec"
191,"Academy of Management Journal","Business Administration",Miscellaneous,0.0,"Acad Manage J"
192,"Academy Of Management Learning And Education",,,0.0,"Acad Manag Learn Edu"
193,"Academy Of Management Perspectives",,,0.0,"Acad Manage Perspect"
194,"Academy of Management Proceedings","Business Administration",Miscellaneous,0.0,
195,"Academy of Management Review","Arts and Literature",Literature,0.0,"Acad Manage Rev"
196,"Academy of Marketing Science Review","Business Administration",Marketing,0.0,
197,"Academy of Political Science - Proceedings","Social Sciences","Political Science",0.0,
198,Acadiensis,,,0.0,Acadiensis
199,Acarologia,,,0.0,Acarologia
200,"Acc Cardiosource Review Journal",,,0.0,
201,"ACC Current Journal Review",Medicine,Cardiology,0.0,
202,"Acceleration And Heating In The Magnetosphere",,,0.0,
203,"Accent on Living","Social Sciences",Miscellaneous,0.0,
204,"Accents; The Newsletter of the Music Education Council of the New Brunswick Teachers' Association","Arts and Literature",Music,0.0,
205,Access,"Arts and Literature",Literature,0.0,
206,"Access : The Newsmagazine of the American Dental Hygienists' Association",Medicine,Miscellaneous,0.0,
207,"Accident Analysis & Prevention",Economics,"Public Economics",0.0,"Accident Anal Prev"
208,"Accident and Emergency Nursing",Medicine,Nursing,0.0,
209,"Accountability In Research",,,0.0,
210,"Accountability in Research: Policies and Quality Assurance","Biological Sciences",Biotechnology,0.0,
211,"Accountancy (SA)","Business Administration",Miscellaneous,0.0,
212,"Accountancy Age","Business Administration",Miscellaneous,0.0,
213,"Accountancy Ireland","Business Administration",Miscellaneous,0.0,
214,"Accountant, The","Business Administration",Miscellaneous,0.0,
215,"Accounting and Business Research","Business Administration",Miscellaneous,0.0,
216,"Accounting and Finance","Business Administration","Banks and Banking",0.0,
217,"Accounting and the Public Interest","Business Administration",Miscellaneous,0.0,
218,"Accounting, Auditing & Accountability Journal",Economics,"Environmental Economics",0.0,
219,"Accounting Business and Financial History","Business Administration",Accounting,0.0,
220,"Accounting Department Management & Administration Report","Business Administration",Miscellaneous,0.0,
221,"Accounting Department Management Report","Business Administration",Miscellaneous,0.0,
222,"Accounting Education (JAI)",Education,Miscellaneous,0.0,
223,"Accounting Education News",Education,Miscellaneous,0.0,
224,"Accounting Enquiries","Business Administration",Miscellaneous,0.0,
225,"Accounting Forum","Business Administration",Accounting,0.0,
226,"Accounting Historians Journal, The","Business Administration",Miscellaneous,0.0,
227,"Accounting History","Business Administration",Miscellaneous,0.0,
228,"Accounting Horizons",Education,Miscellaneous,0.0,
229,"Accounting, Management and Information Technologies","Business Administration",Miscellaneous,0.0,
230,"Accounting Office Management and Administration Report","Business Administration",Miscellaneous,0.0,
231,"Accounting, Organizations and Society","Business Administration","Human Resource Management",0.0,"Account Org Soc"
232,"Accounting Review, The","Business Administration",Miscellaneous,0.0,"Account Rev"
233,"Accounting Technology","Business Administration",Miscellaneous,0.0,
234,"Accounting Today","Business Administration",Miscellaneous,0.0,
235,"Accounts of Chemical Research",Chemistry,"Applied Chemistry",0.0,"Accounts Chem Res"
236,"Accreditation and Quality Assurance","Materials Science",Testing,0.0,"Accredit Qual Assur"
237,"ACES Bulletin (Association for Comparative Economic Studies)",Economics,Miscellaneous,0.0,
238,"Acetylcholine In The Cerebral Cortex",,,0.0,
239,"Ach Models In Chemistry",,,0.0,"Ach-Models Chem"
240,"ACHPER Healthy Lifestyles Journal","Sports and Recreation","Health and Wellness",0.0,
241,ACI,Education,Miscellaneous,0.0,
242,"ACI Materials Journal","Materials Science",Miscellaneous,0.0,"Aci Mater J"
243,"Aci Structural Journal",,,0.0,"Aci Struct J"
244,Acimed,,,0.0,
245,"ACM Computing Surveys","Business Administration",Miscellaneous,0.0,"Acm Comput Surv"
246,"Acm International Conference On Computer Graphics Virtual Reality And Visualisation In Africa",,,0.0,
247,"Acm Journal On Educational Resources In Computing",,,0.0,
248,"Acm Multimedia 2004 Proceedings Of The 12Th Acm International Conference On Multimedia",,,0.0,
249,"ACM SIGACT News","Computer and Information Science","Algorithms and Computational Theory",0.0,
250,"ACM SIGAda Ada Letters","Computer and Information Science","Real-Time Systems",0.0,
251,"ACM Sigart Artificial Intelligence","Computer and Information Science","Artificial Intelligence",0.0,
252,"ACM SIGART Bulletin","Computer and Information Science","Artificial Intelligence",0.0,
253,"ACM SIGCAPH Computers and the Physically Handicapped","Computer and Information Science",Miscellaneous,0.0,
254,"Acm Sigda International Symposium On Field Programmable Gate Arrays Fpga",,,0.0,
255,"Acm Sigdoc Annual International Conference On Computer Documentation Proceedings",,,0.0,
256,"ACM Sigplan Notices","Computer and Information Science",Miscellaneous,0.0,"Acm Sigplan Notices"
257,"Acm Sigplan Sigsoft Workshop On Program Analysis For Software Tools And Engineering",,,0.0,
258,"ACM SIGSIM Simulation Digest",Mathematics,"Mathematical Modelling and Industrial Mathematics",0.0,
259,"Acm Symposium On Virtual Reality Software And Technology Proceedings Vrst",,,0.0,
260,"ACM Transactions on Algorithms","Computer and Information Science","Algorithms and Computational Theory",0.0,
261,"Acm Transactions On Asian Language Information Processing",,,0.0,
262,"ACM Transactions on Computational Logic","Computer and Information Science","Artificial Intelligence",0.0,
263,"ACM Transactions on Computer-Human Interaction","Computer and Information Science","Artificial Intelligence",0.0,
264,"ACM Transactions on Computer Systems","Computer and Information Science","Operating Systems",0.0,"Acm T Comput Syst"
265,"ACM Transactions on Database Systems","Computer and Information Science","Algorithms and Computational Theory",0.0,"Acm T Database Syst"
266,"ACM Transactions on Design Automation of Electronic Systems","Computer and Information Science","Design Automation",0.0,"Acm T Des Automat El"
267,"ACM Transactions on Embedded Computing Systems","Computer and Information Science","Algorithms and Computational Theory",0.0,
268,"Acm Transactions On Graphics",,,0.0,"Acm T Graphic"
269,"ACM Transactions on Information and System Security","Business Administration","Intellectual Property",0.0,
270,"ACM Transactions on Information Systems","Computer and Information Science","Information Retrieval",0.0,"Acm T Inform Syst"
271,"ACM Transactions on Internet Technology","Social Sciences","Social Issues",0.0,
272,"ACM Transactions on Mathematical Software","Computer and Information Science","Algorithms and Computational Theory",0.0,"Acm T Math Software"
273,"Acm Transactions On Modeling And Computer Simulation",,,0.0,
274,"ACM Transactions on Multimedia Computing, Communications, and Applications","Computer and Information Science","Multimedia Systems and Applications",0.0,
275,"Acm Transactions On Office Information Systems",,,0.0,"Acm T Off Inf Syst"
276,"ACM Transactions on Programming Languages and Systems","Computer and Information Science","Algorithms and Computational Theory",0.0,"Acm T Progr Lang Sys"
277,"ACM Transactions on Software Engineering and Methodology","Computer and Information Science","Algorithms and Computational Theory",0.0,"Acm T Softw Eng Meth"
278,Acme,,,0.0,
279,"ACOG Clinical Review",Medicine,Gynecology,0.0,
280,"ACOG Current Journal Review",Medicine,Miscellaneous,0.0,
281,"Acoustic Musician Magazine","Arts and Literature",Music,0.0,
282,"Acoustic Research Letters Online",,,0.0,
283,"Acoustical Physics",Physics,Miscellaneous,0.0,"Acoust Phys"
284,"Acoustical Science And Technology",,,0.0,
285,"Acoustics Abstracts",Engineering,Miscellaneous,0.0,
286,"Acoustics Australia",,,0.0,
287,"Acoustics Bulletin",,,0.0,
288,"Acoustics Letters",,,0.0,
289,"Acoustics Research Letters Online","Earth Sciences",Oceanography,0.0,
290,"Acoustics Research Letters Online Arlo",,,0.0,"Acoust Res Lett Onl"
291,"Acoustics, Speech, and Signal Processing Newsletter, IEEE","Electrical and Electronic Engineering","Acoustics, Speech and Signal Processing",0.0,
292,"Acp Applied Cardiopulmonary Pathophysiology",,,0.0,"Acp-Appl Cardiopul P"
293,"ACP Journal Club","Biological Sciences",Miscellaneous,0.0,"Acp J Club"
294,"ACP Medicine",Medicine,"Internal Medicine",0.0,
295,"Acquaculture and Fisheries Management","Environmental Sciences",Fisheries,0.0,
296,"Acquisition et Interaction en Langue Étrangère",Linguistics,"French Language",0.0,
297,"Acquisitions Librarian, The","Business Administration","Finance and Financial Services",0.0,
298,Acrida,,,0.0,Acrida
299,"Across the Board","Business Administration",Miscellaneous,0.0,"Across Board"
300,"Across Time and Space",Humanities,Miscellaneous,0.0,
301,"ACS Chemical Biology","Biological Sciences",Miscellaneous,0.0,"Acs Chem Biol"
302,"Acs Division Of Environmental Chemistry Preprints",,,0.0,
303,"Acs National Meeting Book Of Abstracts",,,0.0,
304,"Acs Symposium Series",,,0.0,"Acs Sym Ser"
305,"ACSM's Health & Fitness Journal",Education,Miscellaneous,0.0,
306,"Acsm Bulletin",,,0.0,
307,"Acsms Health And Fitness Journal",,,0.0,"Acsms Health Fit J"
308,"ACT: Advertising/Communications Times","Business Administration",Miscellaneous,0.0,
309,"Act Entomologica Musei National Pragae","Biological Sciences",Entomology,0.0,
310,"Act Research Report",,,0.0,"Act Res Rep"
311,"Acta Academiae Medicinae Hubei",,,0.0,
312,"Acta Academiae Medicinae Primae Shanghai",,,0.0,
313,"Acta Academiae Medicinae Shandong",Medicine,Miscellaneous,0.0,
314,"Acta Academiae Medicinae Sichuan",,,0.0,
315,"Acta Academiae Medicinae Wuhan",,,0.0,
316,"Acta Academica",Law,Miscellaneous,0.0,
317,"Acta Acustica",,,0.0,"Acta Acust"
318,"Acta Acustica Stuttgart",,,0.0,
319,"Acta Acustica United With Acustica",,,0.0,"Acta Acust United Ac"
320,"Acta Adriatica",,,0.0,
321,"Acta Aeronautica et Astronautica Sinica / Hangkong Xuebao",Engineering,Aeronautics,0.0,
322,"Acta Agric Scand",,,0.0,
323,"Acta Agriculturae Scandinavica","Biological Sciences","Agricultural Science",0.0,"Acta Agr Scand"
324,"Acta Agriculturæ Scandinavica - Section A","Biological Sciences","Animal Behavior",0.0,
325,"Acta Agriculturae Scandinavica Section A Animal Science",,,0.0,"Acta Agr Scand A-An"
326,"Acta Agriculturæ Scandinavica - Section B","Biological Sciences",Entomology,0.0,
327,"Acta Agriculturae Scandinavica Section B Soil And Plant Science",,,0.0,"Acta Agr Scand B-S P"
328,"Acta Agriculturae Scandinavica - Section C","Biological Sciences","Agricultural Science",0.0,
329,"Acta Agriculturae Slovenica","Biological Sciences","Agricultural Science",0.0,
330,"Acta Agrobotanica",,,0.0,"Acta Agrobot"
331,"Acta Agronomica Academiae Scientiarum Hungaricae",,,0.0,"Acta Agron Hung"
332,"Acta Agronomica Hungarica","Biological Sciences","Animal Physiology",0.0,
333,"Acta Alimentaria","Biological Sciences",Microbiology,0.0,"Acta Aliment Hung"
334,"Acta Allergologica",Medicine,Allergy,0.0,"Acta Allergol"
335,"Acta Allergologica - Supplementum",Medicine,Allergy,0.0,
336,"Acta Amazonica",,,0.0,
337,"Acta Anaesthesiologica",,,0.0,
338,"Acta Anaesthesiologica Belgica",,,0.0,"Acta Anaesth Belg"
339,"Acta Anaesthesiologica Italica",,,0.0,
340,"Acta Anaesthesiologica Italica Anaesthesia And Intensive Care In Italy",,,0.0,
341,"Acta Anaesthesiologica Scandinavica",Medicine,Miscellaneous,0.0,"Acta Anaesth Scand"
342,"Acta Anaesthesiologica Scandinavica Supplement",,,0.0,
343,"Acta Anaesthesiologica Scandinavica. Supplementum",,,0.0,"Acta Anaesthesiol Scand Suppl"
344,"Acta Anaesthesiologica Sinica",,,0.0,
345,"Acta Anaesthesiologica Taiwanica",,,0.0,
346,"Acta Analytica",Philosophy,Epistemology,0.0,
347,"Acta Anatomica",,,0.0,"Acta Anat"
348,"Acta Anatomica Sinica",,,0.0,
349,"Acta Angiologica",,,0.0,
350,"Acta Anthropologica Sinica (alternate title)",Physics,Miscellaneous,0.0,
351,"Acta Antiqua Academiae Scientiarum Hungaricae",Humanities,Archaeology,0.0,"Acta Antiqua Hung"
352,"Acta Applicandae Mathematica",Mathematics,Miscellaneous,0.0,
353,"Acta Applicandae Mathematicae",,,0.0,"Acta Appl Math"
354,"Acta Arachnologica",,,0.0,
355,"Acta Archaeologica",Humanities,Archaeology,0.0,"Acta Archaeol-Den"
356,"Acta Archaeologica Academiae Scientiarum Hungaricae / Magyar Tudomanyos Akademia Regeszeti Kozlemenyei",Humanities,Archaeology,0.0,
357,"Acta Arithmetica",Mathematics,Miscellaneous,0.0,"Acta Arith"
358,"Acta Astronautica",Engineering,Energy,0.0,"Acta Astronaut"
359,"Acta Astronomica",,,0.0,"Acta Astronom"
360,"Acta Astronomica Sinica","Astronomy/Astrophysics/Space Science",Miscellaneous,0.0,
361,"Acta Belgica Historiae Medicinae",Medicine,"History of Medicine",0.0,
362,"Acta Belgica Historiae Medicinae Official Journal Of The Belgian Association For The History Of Medicine Societas Belgica Historiae Medicinae",,,0.0,
363,"Acta Belgica Medica Physica",,,0.0,
364,"Acta Bio Medica De L'Ateneo Parmense",,,0.0,"Acta Biomed Ateneo Parmense"
365,"Acta Biochim Biophys Sin Shanghai",,,0.0,
366,"Acta Biochimica And Biophysica Academiae Scientarium Hungarica",,,0.0,"Acta Biochimica B A"
367,"Acta Biochimica Et Biophysica Academiae Scientiarum Hungaricae",,,0.0,
368,"Acta Biochimica et Biophysica Hungarica","Biological Sciences",Biophysics,0.0,"Acta Biochim Biophys"
369,"Acta Biochimica et Biophysica Sinica","Biological Sciences",Biochemistry,0.0,"Acta Bioch Bioph Sin"
370,"Acta Biochimica Iranica",,,0.0,"Acta Biochim Iran"
371,"Acta Biochimica Polonica",,,0.0,"Acta Biochim Pol"
372,"Acta Biologiae Experimentalis",,,0.0,
373,"Acta Biologica Academiae Scientiarum Hungaricae",,,0.0,"Acta Biol Acad Sci H"
374,"Acta Biologica Benrodis",,,0.0,
375,"Acta Biologica Cracoviensia - Serie Zoologique","Biological Sciences","Zoology and Animal Science",0.0,
376,"Acta Biologica Cracoviensia Series Botanica",,,0.0,"Acta Biol Cracov Bot"
377,"Acta Biologica Cracoviensia Series Zoologia",,,0.0,"Acta Biol Cracov Zoo"
378,"Acta Biologica et Medica Germanica","Biological Sciences",Miscellaneous,0.0,"Acta Biol Med Ger"
379,"Acta Biologica Hungarica","Biological Sciences",Genetics,0.0,"Acta Biol Hung"
380,"Acta Biologica Iugoslavica Serija C: Iugoslavica Physiologica et Pharmacologica Acta",Medicine,Pharmacology,0.0,
381,"Acta Biológica Paranaense","Biological Sciences",Miscellaneous,0.0,
382,"Acta Biologica Szegediensis",,,0.0,
